hour,wind,solar,coal,gas,DSM_up,DSM_down
214,7200.0,-0.0,840.8681231177561,4000.0,0.0,839.5084762325478
215,7600.0,-0.0,1351.9169603095652,4000.0,260.9596639825195,0.0
216,6000.0,-0.0,0.0,2445.4666149227414,312.87093937738064,0.0
217,6400.0,-0.0,0.0,726.4658441382217,558.640011395315,0.0
218,6799.999999999999,-0.0,0.0,1368.155895970377,242.48501100037174,0.0
219,7200.0,-0.0,0.0,798.1875142723075,351.49326198337803,0.0
220,7600.0,-0.0,0.0,748.6476296177352,0.0,886.9404115064171
221,6000.0,-0.0,0.0,2416.9295526620026,0.0,839.5084762325478
222,6400.0,-0.0,1066.7819463655997,4000.0,260.9596639825195,0.0
223,6799.999999999999,3568.9086918527546,0.0,0.0,312.87093937738064,0.0
224,7200.0,2575.055637794985,0.0,0.0,558.640011395315,0.0
225,7600.0,2004.931348903663,0.0,0.0,242.48501100037174,0.0
226,6000.0,5725.321300054886,0.0,0.0,351.49326198337803,0.0
227,6400.0,5695.62138214916,0.0,0.0,0.0,886.9404115064171
228,6799.999999999999,6400.0,5000.0,221.47112733224458,0.0,839.5084762325478
229,7200.0,6400.0,960.0588044794968,0.0,260.9596639825195,0.0
230,7600.0,6400.0,1577.5256089947961,0.0,312.87093937738064,0.0
231,6000.0,6400.0,3828.7337073372455,0.0,558.640011395315,0.0
232,6400.0,6400.0,4261.392591248132,0.0,242.48501100037174,0.0
233,6799.999999999999,6400.0,1500.553764921191,0.0,351.49326198337803,0.0
234,7200.0,5790.768400919753,0.0,0.0,0.0,886.9404115064171
235,7600.0,5382.776850149907,0.0,0.0,0.0,839.5084762325478
236,6000.0,-0.0,1510.5974604112325,4000.0,260.9596639825195,0.0
237,6400.0,-0.0,329.1880180982116,4000.0,312.87093937738064,0.0
238,6799.999999999999,-0.0,0.0,3087.019490465839,558.640011395315,0.0
239,7200.0,-0.0,1117.059520929466,4000.0,242.48501100037174,0.0
240,7341.8316481113525,0.0,0.0,0.0,351.49326198337803,0.0
